Steps;Cars
813300;147
813600;138
813900;139
814200;147
814500;138
814800;143
815100;151
815400;145
815700;14
816000;138
816300;147
816600;139
816900;126
817200;124
817500;155
817800;139
818100;131
818400;144
818700;148
819000;137
819300;137
819600;144
819900;151
820200;139
820500;132
820800;152
821100;141
821400;162
821700;137
822000;135
822300;126
822600;146
822900;13
823200;145
823500;149
823800;129
824100;15
824400;147
824700;139
825300;136
825600;155
825900;139
826200;155
826500;15
826800;145
827100;128
827400;146
827700;144
828000;138
828300;153
828600;132
828900;127
829200;15
829500;144
829800;149
830100;14
830400;127
830700;125
831000;122
831300;132
831600;148
831900;149
832200;146
832500;137
832800;152
833100;138
833400;135
833700;146
834000;153
834300;123
834600;143
834900;151
835200;144
835500;139
835800;152
836100;127
836400;144
836700;141
837000;142
837300;144
837600;138
837900;151
838200;142
838500;143
838800;147
839100;152
839400;12
839700;102
840000;98
840300;121
840600;122
